"title","year","class","imdbID","plot"
"A Face in the Crowd","1957","Drama","tt0050371","""A Face in the Crowd"" charts the rise of a raucous hayseed named Lonesome Rhodes from itinerant Ozark guitar picker to local media rabble-rouser to TV superstar and political king-maker. Marcia Jeffries is the innocent Sarah Lawrence girl who discovers the great man in a back-country jail and is the first to fall under his spell."
"A Few Good Men","1992","Drama","tt0104257","In this dramatic courtroom thriller, LT Daniel Kaffee, a Navy lawyer who has never seen the inside of the courtroom, defends two stubborn Marines who have been accused of murdering a colleague. Kaffee is known as being lazy and had arranged for a plea bargain. Downey's Aunt Ginny appoints Cmdr. Galloway to represent him. Also on the legal staff is LTJG Sam Weinberg. The team rounds up many facts and Kaffee is discovering that he is really cut out for trial work. The defense is originally based upon the fact that PFC Santiago, the victim, was given a ""CODE RED"". Santiago was basically a screw-up. At Gitmo, screw-ups aren't tolerated. Especially by Col. Nathan Jessup. In Cuba, Jessup and two senior officers try to give all the help they can, but Kaffee knows something's fishy. In the conclusion of the film, the fireworks are set off by a confrontation between Jessup and Kaffee."
"A Fool There Was","1915","Drama","tt0005339","John Schuyler, happily married Wall Street lawyer, is appointed as special diplomatic representative to England. By an unhappy accident, his wife and child can't come along; but on the ship with him is ""The Vampire,"" a ""notorious woman"" who lives off a succession of men she has seduced and ruined. Slighted by Mrs. Schuyler, she has set her sights on the husband. Two months later, we find the Fool languishing with the mistress who has him enmeshed in her toils. Will he follow the others to the depths of degradation?"
"A Night at the Opera","1935","Comedy","tt0026778","A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies."
"A Place in the Sun","1951","Drama","tt0043924","The young and poor George Eastman (Montgomery Clift) leaves his religious mother and Chicago and arrives in California expecting to find a better job in the business of his wealthy uncle Charles Eastman. His cousin Earl Eastman advises him that there are many women in the factory and the basic rule is that he must not hang around with any of them. George meets the worker of the assembly line, Alice Tripp, in the movie theater and they date. Meanwhile, the outcast George is promoted and he meets the gorgeous Angela Vickers at a party thrown at his uncle's house. Angela introduces him to the local high society and they fall in love with each other. However, Alice is pregnant and she wants to get married with George. During a dinner party at Angela's lake house with parents, relatives, and friends, Alice calls George from the bus station and gives him thirty minutes to meet her; otherwise she will crash the party and tell what has happened. George is pressed by the situation which ends in a tragedy."
"A Raisin in the Sun","1961","Drama","tt0055353","Walter Lee Younger is a young man struggling with his station in life. Sharing a tiny apartment with his wife, son, sister and mother, he seems like an imprisoned man. Until, that is, the family gets an unexpected financial windfall..."
"A Star Is Born","1954","Drama","tt0047522","Norman Maine, a movie star whose career is on the wane, meets showgirl Esther Blodgett when he drunkenly stumbles into her act one night. A friendship develops, then blossoms into romance before tensions increase as Esther's career takes off while Norman's continues to plummet."
"A Star Is Born","1976","Drama","tt0075265","A has-been rock star falls in love with a young, up-and-coming songstress."
"A Streetcar Named Desire","1951","Drama","tt0044081","Blanche DuBois, a high school English teacher with an aristocratic background from Auriol, Mississippi, decides to move to live with her sister and brother-in-law, Stella and Stanley Kowalski, in New Orleans after creditors take over the family property, Belle Reve. Blanche has also decided to take a break from teaching as she states the situation has frayed her nerves. Knowing nothing about Stanley or the Kowalskis' lives, Blanche is shocked to find that they live in a cramped and run down ground floor apartment - which she proceeds to beautify by putting shades over the open light bulbs to soften the lighting - and that Stanley is not the gentleman that she is used to in men. As such, Blanche and Stanley have an antagonistic relationship from the start. Blanche finds that Stanley's hyper-masculinity, which often displays itself in physical outbursts, is common, coarse and vulgar, being common which in turn is what attracted Stella to him. Beyond finding Blanche's delicate hoidy-toidy act as putting on airs, Stanley, a plant worker, believes she may really have sold Belle Reve and is withholding Stella's fair share of the proceeds from them. What further affects the relationship between the three is that Stella is in the early stage of pregnancy with her and Stanley's first child. Soon after her arrival at the Kowalskis, Blanche starts to date Mitch, one of Stanley's friends and coworkers who is a little softer around the edges than most of Stanley's friends. Mitch does not hide the fact that he is looking in general to get married because of a personal issue, he wanting Blanche ultimately to be his wife. Mitch is somewhat unaware that Blanche has somewhat controlled their courtship to put herself in the best possible light, both figuratively and literally. But in Stanley's quest to find out the truth about Belle Reve and Blanche's life in Auriol, the interrelationships between Stanley, Blanche, Stella and Mitch may be irrevocably affected, with any revelation about that life which may further destroy what's left of Blanche's already damaged mental state."
"A Time Out of War","1954","Drama","tt0047587","Two Union soldiers maintaining a position on a riverbank negotiate a one-hour truce with the Confederate soldier manning the opposite bank. During the hour, they gain respect for one another as they trade tobacco, enjoy some fishing and make an unsettling discovery."
"A Tree Grows in Brooklyn","1945","Drama","tt0038190","In Brooklyn circa 1900, the Nolans manage to enjoy life on pennies despite great poverty and Papa's alcoholism. We come to know these people well through big and little troubles: Aunt Sissy's scandalous succession of ""husbands""; the removal of the one tree visible from their tenement; and young Francie's desire to transfer to a better school...if irresponsible Papa can get his act together."
"A Virtuous Vamp","1919","Comedy","tt0010849","A flirtatious young woman takes a job in a busy office, where her presence is terribly disruptive. None of the men in the office can concentrate on their jobs while her charms are on ..."
"A Walk in the Sun","1945","Drama","tt0038235","In the 1943 invasion of Italy, one American platoon lands, digs in, then makes its way inland to blow up a bridge next to a fortified farmhouse, as tension and casualties mount. Unusually realistic picture of war as long quiet stretches of talk, punctuated by sharp, random bursts of violent action whose relevance to the big picture is often unknown to the soldiers."
"A Woman Under the Influence","1974","Drama","tt0072417","Peter Falk is a blue collar man trying to deal with his wife's mental instability. He fights to keep a semblance of normality in the face of her bizarre behavior, but when her actions affect their children, he has her committed."
"Abbott and Costello Meet Frankenstein","1948","Comedy","tt0040068","The world of freight handlers Wilbur Grey and Chick Young is turned upside down when the remains of Frankenstein's monster and Dracula arrive from Europe to be used in a house of horrors. Dracula awakens and escapes with the weakened monster, who he plans to re-energize with a new brain. Larry Talbot (the Wolfman) arrives from London in an attempt to thwart Dracula. Dracula's reluctant aide is the beautiful Dr. Sandra Mornay. Her reluctance is dispatched by Dracula's bite. Dracula and Sandra abduct Wilbur for his brain and recharge the monster in preparation for the operation. Chick and Talbot attempt to find and free Wilbur, but when the full moon rises all hell breaks loose with the Wolfman, Dracula, and Frankenstein all running rampant."
"Airplane!","1980","Comedy","tt0080339","A man afraid to fly must ensure that a plane lands safely after the pilots become sick."
"All About Eve","1950","Drama","tt0042192","Eve (Anne Baxter) is waiting backstage to meet her ""idol"" aging Broadway Star, Margo Channing (Bette Davis). It all seems innocent enough as Eve explains that she has seen Margo in EVERY performance of the current play she is in. Only Playright critic DeWitt (George Sanders) sees through Eve's evil plan, which is to take her parts and fiancé, Bill Simpson (Gary Merrill) When the fiancé shows no interest, she tries for playwright Hugh Marlowe (Lloyd Richards) but DeWitt stops her. After she accepts her award, she decides to skip the after-party and goes to her room, where we find a young woman named Phoebe, who snuck into her room and fell asleep. This is where the ""Circle of Life"" now comes to fruition as Eve is going to get played the way she did Margo."
"All Quiet on the Western Front","1930","Drama","tt0020629","This is an English language film (made in America) adapted from a novel by German author Erich Maria Remarque. The film follows a group of German schoolboys, talked into enlisting at the beginning of World War 1 by their jingoistic teacher. The story is told entirely through the experiences of the young German recruits and highlights the tragedy of war through the eyes of individuals. As the boys witness death and mutilation all around them, any preconceptions about ""the enemy"" and the ""rights and wrongs"" of the conflict disappear, leaving them angry and bewildered. This is highlighted in the scene where Paul mortally wounds a French soldier and then weeps bitterly as he fights to save his life while trapped in a shell crater with the body. The film is not about heroism but about drudgery and futility and the gulf between the concept of war and the actuality."
"All That Heaven Allows","1955","Drama","tt0047811","Cary Scott is a widow with two grown children. She's been leading a quiet life since her husband died, socializing with a small circle of friends. Her children no longer live with her full-time but come home every weekend. She's not unhappy but also doesn't realize how bored she is. Her friend Sara Warren encourages he to get a television set to keep her company but she doesn't want that either. She develops a friendship with Ron Kirby who owns his own nursery and comes every spring and fall to trim her trees. Ron is much younger than she and their friendship soon turns to love. Her circle of friends are surprised that she is seeing such a younger man and she might be prepared to overlook that - Ron certainly doesn't care about the differences in their ages - but when her son and daughter vehemently object, she decides to sacrifice her own feelings for their happiness. Over time however, she realizes that her children will be spending less and less time with her as they pursue their own lives an re-evaluates her decision."
"All the King's Men","1949","Drama","tt0041113","Jack Burden is a newspaper reporter who first hears of Willie Stark when his editor sends him to Kanoma County to cover the man. What's special about this nobody running for county treasurer? He's supposedly an honest man. Burden discovers this to be true when he sees Stark delivering a speech and having his son pass out handbills, while the local politicians do their best to intimidate him. Willie Stark is honest and brave. He's also a know-nothing hick whose schoolteacher wife has given him what little education he has. Stark loses the race for treasurer, but later makes his way through law school, becoming an idealistic attorney who fights for what is good. Someone in the governor's employ remembers Stark when the governor needs a patsy to run against him and split the vote of his rival. The fat cats underestimate Stark; but Jack Burden, Stark's biggest supporter, overestimates the man's idealism. To get where he wants to go, Willie Stark is willing to crack a few eggs - which include his tough-talking assistant, Sadie Burke; Jack's poised and elegant fiancée, Anne Stanton; and even Jack Burden himself."
"All the President's Men","1976","Drama","tt0074119","In the run-up to the 1972 elections, Washington Post reporter Bob Woodward covers what seems to be a minor break-in at the Democratic Party National headquarters. He is surprised to find top lawyers already on the defense case, and the discovery of names and addresses of Republican fund organizers on the accused further arouses his suspicions. The editor of the Post is prepared to run with the story and assigns Woodward and Carl Bernstein to it. They find the trail leading higher and higher in the Republican Party, and eventually into the White House itself."
"Amadeus","1984","Drama","tt0086879","Antonio Salieri believes that Wolfgang Amadeus Mozart's music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God's rewards for his piety. He's also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he's shocked to learn that Mozart is such a vulgar creature, and can't understand why God favored Mozart to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity."
"America America","1963","Drama","tt0056825","Elia Kazan, ethnic Greek but Turkish by birth, tells the story of the struggles of his uncle - in this account named Stavros Topouzoglou - in emigrating to America. In the 1890's, the young, kind-hearted but naive Stavros lived in Anatolia, where the Greek and Armenian minorities were repressed by the majority Turks, this repression which often led to violence. Even Stavros being friends with an Armenian was frowned upon. As such, Stavros dreamed of a better life - specifically in America - where, as a result, he could make his parents proud by his grand accomplishments. Instead, his parents, with most of their money, sent Stavros to Constantinople to help fund the carpet shop owned by his first cousin once removed. What Stavros encountered on his journey, made on foot with a small donkey, made him question life in Anatolia even further. Once in Constantinople, his resolve to earn the 110 Turkish pound third class fare to the United States became stronger than ever. But try after try, his efforts were thwarted. But as he seemed close to achieving his dream, it seemed certain that it would snatched away from him. But an earlier good deed may have helped him ultimately achieve his goal of reaching the United States and a better life."
"An Affair to Remember","1957","Drama","tt0050105","Nickie Ferrante's return to New York to marry a rich heiress is well publicized as are his many antics and affairs. He meets a nightclub singer Terry McKay who is also on her way home to her longtime boyfriend. She sees him as just another playboy and he sees her as stand-offish but over several days they soon find they've fallen in love. Nickie has never really worked in his life so they agree that they will meet again in six months time atop the Empire State building. This will give them time to deal with their current relationships and for Nickie to see if he can actually earn a living. He returns to painting and is reasonably successful. On the agreed date, Nickie is waiting patiently for Terry who is racing to join him. Fate intervenes however resulting in misunderstanding and heartbreak and only fate can save their relationship."
"An American in Paris","1951","Drama","tt0043278","Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman."
"An Officer and a Gentleman","1982","Drama","tt0084434","Zack Mayo is a young man who has signed up for Navy Aviation Officer Candidate School. He is a Navy brat who has a bad attitude problem. GySgt Foley is there to train and evaluate him and will clearly find Zack wanting. Zack meets Paula, a girl who has little beyond family and must decide what it is he wants to do with his life."
"Anatomy of a Murder","1959","Drama","tt0052561","Frederick Manion (Ben Gazzara), a lieutenant in the army, is arrested for the murder of a bartender, Barney Quill. He claims, in his defense, that the victim had raped and beaten up his wife Laura (Lee Remick). Although Laura supports her husband's story, the police surgeon can find no evidence that she has been raped. Manion is defended by Paul Biegler (James Stewart), a rather humble small-town lawyer. During the course of interviews, Biegler discovers that Manion is violently possessive and jealous, and also that his wife has a reputation for giving her favors to other men. Biegler realizes that the prosecution will try to make the court believe that Laura was the lover of the bartender and than Manion killed him and beat her up when he discovered them together. Manion pleads ""not guilty"" and Biegler, who knows that his case is weak, sets his assistants to try to find a witness who will save Manion."
"Animal Crackers","1930","Comedy","tt0020640","Captain Spaulding, the noted explorer, returns from Africa and attends a gala party held by Mrs. Rittenhouse. A painting displayed at that party is stolen, and the Marxes help recover it. Well, maybe 'help' isn't quite the word I was looking for--this is the Marx Brothers, after all..."
"Anna Karenina","1935","Drama","tt0026071","This version of the Tolstoy classic lingers longer in Moscow during the weeks that follow the initial meeting of the starstruck lovers-to-be Vronsky and Anna Karenina. The story -- as it unfolds -- also focuses on Kitty, a young woman who is related to Anna's sister-in-law whose marital rift has brought Anna to Moscow. Until Anna shows up, Kitty had hopes of getting Vronsky, who is single and well connected, to propose to her. Ignored by Vronsky, Kitty turns her attention to another suitor, a man who seems to have a lot in common with Tolstoy."
"Annie Hall","1977","Comedy","tt0075686","Alvy Singer, a forty year old twice divorced, neurotic, intellectual Jewish New York stand-up comic, reflects on the demise of his latest relationship, to Annie Hall, an insecure, flighty, Midwestern WASP aspiring nightclub singer. Unlike his previous relationships, Alvy believed he may have worked out all the issues in his life through fifteen years of therapy to make this relationship with Annie last, among those issues being not wanting to date any woman that would want to date him, and thus subconsciously pushing those women away. Alvy not only reviews the many ups and many downs of their relationship, but also reviews the many facets of his makeup that led to him starting to date Annie. Those facets include growing up next to Coney Island in Brooklyn, being attracted to the opposite sex for as long as he can remember, and enduring years of Jewish guilt with his constantly arguing parents."
"Apocalypse Now","1979","Drama","tt0078788","It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him! Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will Willard & the others be able to fulfill their mission?"
"Apollo 13","1995","Drama","tt0112384","Based on the true story of the ill-fated 13th Apollo mission bound for the moon. Astronauts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and The US has already achieved their lunar landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade."
"Applause","1929","Drama","tt0019644","This early example of the ""backstage"" musical genre tells the story of Kitty Darling, a fading burlesque star who tries to save her convent-educated daughter April from following in Mom's footsteps."
"Arthur","1981","Comedy","tt0082031","Arthur is a happy drunk with no pretensions at any ambition. He is also the heir to a vast fortune which he is told will only be his if he marries Susan. He does not love Susan, but she will make something of him the family expects. Arthur proposes but then meets a girl with no money who he could easily fall in love with."
"Atlantic City","1980","Drama","tt0080388","Dreams. Becoming an Atlantic City croupier will help Sally realize her dream of going to Monte Carlo, a symbol of the glamorous life that has been evading her since escaping from Saskatchewan a decade ago. Lou dreams that he was a great mobster in the old days. Grace came to Atlantic City for a Betty Grable look-alike contest and stayed to become the wife of a mobster. A brief visit to Atlantic City by Sally's estranged husband will change the course of the lives of Sally and Lou."
"Baby Face","1933","Drama","tt0023775","A young woman, sexually exploited all her life, decides to turn the tables and exploit the hapless men at a big city bank -- by gleefully sleeping her way to the top."
"Back to the Future","1985","Comedy","tt0088763","Marty McFly, a typical American teenager of the Eighties, is accidentally sent back to 1955 in a plutonium-powered DeLorean ""time machine"" invented by a slightly mad scientist. During his often hysterical, always amazing trip back in time, Marty must make certain his teenage parents-to-be meet and fall in love - so he can get back to the future."
"Badlands","1973","Drama","tt0069762","It's the late 1950s. Mid-twenty-something Kit is a restless and unfocused young man with a James Dean vibe and swagger which he has heard mentioned about him more than once. Fifteen year old Holly has a somewhat cold relationship with her sign painter father, if only because she is the primary reminder of his wife, who died of pneumonia when Holly was a child. The two meet when Holly and her father move from Texas to the small town where Kit lives, Fort Dupree, South Dakota. They slowly fall in love, something about which she cannot tell her father because of their age difference and Kit coming from the wrong side of the tracks. When he tries to take Holly away with him, Kit, on an impulse, shoots her father dead. After letting the initial emotions of the situation settle down, Holly decides voluntarily to go with Kit, they trying to make it look like they committed suicide in a house fire. But they soon learn that their plan did not work, there being a bounty on their heads. As such, Kit continues his murderous ways in order to protect the life he wants to eke out with Holly. She, on the other hand, wants to support Kit, especially as he begins to feel more and more trapped, but she may only be able to endure what looks increasingly to be a battle they cannot win as a couple. Through it all, they openly and privately muse about their philosophies on their life considering their current circumstance."
"Ball of Fire","1941","Comedy","tt0033373","A group of ivory-tower lexicographers realize they need to hear how real people talk, and end up helping a beautiful singer avoid police and escape from the Mob."
"Bambi","1942","Drama","tt0034492","The animated story of Bambi, a young deer hailed as the 'Prince of the Forest' at his birth. As Bambi grows, he makes friends with the other animals of the forest, learns the skills needed to survive, and even finds love. One day, however, the hunters come, and Bambi must learn to be as brave as his father if he is to lead the other deer to safety."
"Barefoot in the Park","1967","Comedy","tt0061385","New Yorkers Paul Bratter and Corie Bratter née Banks have just gotten married. He is a stuffed shirt just starting his career as a lawyer. She is an independently minded free spirit who prides herself on doing the illogical purely out of a sense of adventure, such acts as walking through Washington Square Park barefoot when it's 17°F outside. Their six day honeymoon at the Plaza Hotel shows that they can get to know each other easily in the biblical sense. But they will see if they can get to know each other in their real life when they move into their first apartment, a cozy (in other words, small), slightly broken down top floor unit in a five story walk-up. While Corie joyfully bounds up and down the stairs, Paul, always winded after the fact, hates the fact of having to walk up the six flights of stairs, if one includes the stairs that comprise the outside front stoop. Beyond the issues with the apartment itself, Paul and Corie will have to deal with an odd assortment of neighbors, most specifically eccentric senior Victor Velasco, who lives in the unusual attic and who would like to consider himself a dirty old man. Corie, worried about her single straight-laced mother Ethel Banks, wants to set her up with Victor. Without Corie or Paul truly realizing it, Ethel and Victor as a twosome is as illogical as Corie and Paul. What happens between Ethel and Victor may be a predictor if Corie and Paul's marriage can make it in the long run."
"Ben-Hur","1959","Drama","tt0052618","Judah Ben-Hur lives as a rich Jewish prince and merchant in Jerusalem at the beginning of the 1st century. Together with the new governor his old friend Messala arrives as commanding officer of the Roman legions. At first they are happy to meet after a long time but their different politic views separate them. During the welcome parade a roof tile falls down from Judah's house and injures the governor. Although Messala knows they are not guilty, he sends Judah to the galleys and throws his mother and sister into prison. But Judah swears to come back and take revenge."
"Beyond the Forest","1949","Drama","tt0041172","Rosa Moline is bored with life in a small town. She loves Chicago industrialist Neil Latimer who has a hunting lodge nearby. Rosa squeezes her husband's patients to pay their bills so she can visit Chicago; her husband's patience is also tried: he tells her to go and never come back. Once there, Neil tells her he doesn't want her. Back home and pregnant, Neil shows up and now wants her. The caretaker at Neil's lodge threatens to reveal her pregnancy..."
"Big Business","1929","Comedy","tt0019688","Ollie and Stanley are two Christmas Tree sales reps who get into one of their usual mutual destruction fights with a homeowner."
"Black and Tan","1929","Drama","tt0019701","Duke Ellington in a jazz musical short with a tragic plotline."
"Blackboard Jungle","1955","Drama","tt0047885","War veteran Rick Dadier is one of three new teachers hired at North Manual High School, an inner city boys school. This is his first teaching assignment, which he needs to support himself and his insecure pregnant wife, Anne. Despite Principle Warnecke's assertions to the contrary, Dadier quickly learns that the rumors of student discipline problems at the school are indeed true. The established teachers at the school try to counsel the newcomers, all inexperienced in such situations, as how best to handle the rowdy students. Regardless, Dadier tries to exert discipline in his class, which provokes a violent response. Dadier believes the student leaders against him are Artie West, but more specifically Gregory Miller, who he thinks uses the fact of being black as a means of racial provocation. Dadier has to decide either to leave and teach at a ""real"" school, or stay and figure out how to get through to his students. If he decides to stay, he has to figure out who the real disruptive influences are, especially as they have resorted to attacks of a personal nature that affect especially Anne."
"Blazing Saddles","1974","Comedy","tt0071230","In order to ruin a western town, a corrupt politician appoints a black sheriff, who promptly becomes his most formidable adversary."
"Blood Simple.","1984","Drama","tt0086979","Texas bar owner Julian Marty, who is generally regarded as not a nice person, hires shady private detective Loren Visser, who is able to obtain what Marty requests: evidence - in this instance, photographic - that his wife, Abby, and one of his bartenders, Ray, are having an affair. As Ray and Abby realize that Marty has found out about them, it allows them to plan for their future away from Marty, while be up front with Marty about the situation. Marty, in turn, decides to hire Visser once again, this time to kill Abby and Ray, and dispose of their bodies so that they won't be found. The out in the open affair and the contract hit lead to some actions based on self interest, and a standoff of sorts between the four players, which is compounded in complexity by some wrong assumptions of what has happened, with an innocent bystander, another of the Marty's bartenders, Meurice, potentially and unwittingly adding to the scenario."
"Blue Velvet","1986","Drama","tt0090756","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
"Body Heat","1981","Drama","tt0082089","Ned Racine is a seedy small town lawyer in Florida. During a searing heatwave he's picked up by married Matty Walker. A passionate affair commences but it isn't long before they realise the only thing standing in their way is Matty's rich husband Edmund. A plot hatches to kill him but will they pull it off?"
"Boys Town","1938","Drama","tt0029942","Against all odds Father Flanagan starts ""Boys' Town"" after hearing a convict's story. Whitey Marsh comes there. He runs away but, hungry, returns. He runs away again but, when friend Pee Wee is hit by a car, returns. He runs away and joins his brother's gang. Flanagan and the boys capture the crooks and the reward saves the town."
"Boyz n the Hood","1991","Drama","tt0101507","John Singleton's portrayal of social problems in inner-city Los Angeles takes the form of a tale of three friends growing up together 'in the 'hood.' Half-brothers Doughboy and Ricky Baker are foils for each other's personality, presenting very different approaches to the tough lives they face. Ricky is the 'All-American' athlete, looking to win a football scholarship to USC and seeks salvation through sports, while 'Dough' succumbs to the violence, alcohol, and crime surrounding him in his environment, but maintains a strong sense of pride and code of honor. Between these two is their friend Tre, who is lucky to have a father, 'Furious' Styles, to teach him to have the strength of character to do what is right and to always take responsibility for his actions."
"Braveheart","1995","Drama","tt0112573","William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce."
"Bringing Up Baby","1938","Comedy","tt0029947","Mild mannered zoology professor Dr. David Huxley is excited by the news that an intercostal clavicle bone has been found to complete his brontosaurus skeleton, a project four years in the construction. He is equally excited about his imminent marriage to his assistant, the officious Alice Swallow, who is interested in him more for his work than for him as a person. David needs the $1 million endowment of wealthy dowager Mrs. Carleton Random to complete the project. Her lawyer, Alexander Peabody, will make the decision on her behalf, so David needs to get in his favor. However, whenever David tries to make a good impression on Peabody, the same young woman always seems to do something to make him look bad. She is the flighty heiress Susan Vance. The more David wants Susan to go away, the more Susan seems not to want or be able to. But David eventually learns that Alexander Peabody is her good friend, who she calls Boopy, and Susan's Aunt Elizabeth, with whom David has also made a bad impression without her knowing who he is, is Mrs. Carleton Random. However getting in Aunt Elizabeth and Boopy's good graces is not as easy as Susan smoothing the waters with them. Throw into the mix a tame pet leopard named Baby that Susan's brother Mark inexplicably sends her from Brazil, Aunt Elizabeth's big game hunting friend Major Horace Applegate, Aunt Elizabeth's pet terrier George who has a penchant for burying bones and other things, and a traveling circus passing through town and David may never be able to finish his project or make it to his wedding. But David may come to the realization that there is something more important in his life."
