"title","year","genre","imdbID","plot"
"An Affair to Remember","1957","Drama, Romance","tt0050105","Nickie Ferrante's return to New York to marry a rich heiress is well publicized as are his many antics and affairs. He meets a nightclub singer Terry McKay who is also on her way home to her longtime boyfriend. She sees him as just another playboy and he sees her as stand-offish but over several days they soon find they've fallen in love. Nickie has never really worked in his life so they agree that they will meet again in six months time atop the Empire State building. This will give them time to deal with their current relationships and for Nickie to see if he can actually earn a living. He returns to painting and is reasonably successful. On the agreed date, Nickie is waiting patiently for Terry who is racing to join him. Fate intervenes however resulting in misunderstanding and heartbreak and only fate can save their relationship."
"An American in Paris","1951","Drama, Musical, Romance","tt0043278","Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman."
"An Officer and a Gentleman","1982","Drama, Romance","tt0084434","Zack Mayo is a young man who has signed up for Navy Aviation Officer Candidate School. He is a Navy brat who has a bad attitude problem. GySgt Foley is there to train and evaluate him and will clearly find Zack wanting. Zack meets Paula, a girl who has little beyond family and must decide what it is he wants to do with his life."
"Anatomy of a Murder","1959","Crime, Drama, Mystery","tt0052561","Frederick Manion (Ben Gazzara), a lieutenant in the army, is arrested for the murder of a bartender, Barney Quill. He claims, in his defense, that the victim had raped and beaten up his wife Laura (Lee Remick). Although Laura supports her husband's story, the police surgeon can find no evidence that she has been raped. Manion is defended by Paul Biegler (James Stewart), a rather humble small-town lawyer. During the course of interviews, Biegler discovers that Manion is violently possessive and jealous, and also that his wife has a reputation for giving her favors to other men. Biegler realizes that the prosecution will try to make the court believe that Laura was the lover of the bartender and than Manion killed him and beat her up when he discovered them together. Manion pleads ""not guilty"" and Biegler, who knows that his case is weak, sets his assistants to try to find a witness who will save Manion."
"Animal Crackers","1930","Comedy, Musical","tt0020640","Captain Spaulding, the noted explorer, returns from Africa and attends a gala party held by Mrs. Rittenhouse. A painting displayed at that party is stolen, and the Marxes help recover it. Well, maybe 'help' isn't quite the word I was looking for--this is the Marx Brothers, after all..."
"Anna Karenina","1935","Drama, Romance","tt0026071","This version of the Tolstoy classic lingers longer in Moscow during the weeks that follow the initial meeting of the starstruck lovers-to-be Vronsky and Anna Karenina. The story -- as it unfolds -- also focuses on Kitty, a young woman who is related to Anna's sister-in-law whose marital rift has brought Anna to Moscow. Until Anna shows up, Kitty had hopes of getting Vronsky, who is single and well connected, to propose to her. Ignored by Vronsky, Kitty turns her attention to another suitor, a man who seems to have a lot in common with Tolstoy."
"Annie Hall","1977","Comedy, Romance","tt0075686","Alvy Singer, a forty year old twice divorced, neurotic, intellectual Jewish New York stand-up comic, reflects on the demise of his latest relationship, to Annie Hall, an insecure, flighty, Midwestern WASP aspiring nightclub singer. Unlike his previous relationships, Alvy believed he may have worked out all the issues in his life through fifteen years of therapy to make this relationship with Annie last, among those issues being not wanting to date any woman that would want to date him, and thus subconsciously pushing those women away. Alvy not only reviews the many ups and many downs of their relationship, but also reviews the many facets of his makeup that led to him starting to date Annie. Those facets include growing up next to Coney Island in Brooklyn, being attracted to the opposite sex for as long as he can remember, and enduring years of Jewish guilt with his constantly arguing parents."
"Apocalypse Now","1979","Drama, War","tt0078788","It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him! Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will Willard & the others be able to fulfill their mission?"
"Apollo 13","1995","Adventure, Drama, History","tt0112384","Based on the true story of the ill-fated 13th Apollo mission bound for the moon. Astronauts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and The US has already achieved their lunar landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade."
"Arthur","1981","Comedy, Romance","tt0082031","Arthur is a happy drunk with no pretensions at any ambition. He is also the heir to a vast fortune which he is told will only be his if he marries Susan. He does not love Susan, but she will make something of him the family expects. Arthur proposes but then meets a girl with no money who he could easily fall in love with."
"Auntie Mame","1958","Comedy, Drama, Romance","tt0051383","Mame is an unconventional individualist socialite from the roaring 20's. When her brother dies, she is forced to raise her nephew Patrick. However, Patrick's father has designated an executor to his will to protect the boy from absorbing too much of Mame's rather unconventional perspective. Patrick and Mame become devoted to each other in spite of this restriction, and together journey through Patrick's childhood and the great depression, amidst some rather zaney adventures."
"Back to the Future","1985","Adventure, Comedy, Sci-Fi","tt0088763","Marty McFly, a typical American teenager of the Eighties, is accidentally sent back to 1955 in a plutonium-powered DeLorean ""time machine"" invented by a slightly mad scientist. During his often hysterical, always amazing trip back in time, Marty must make certain his teenage parents-to-be meet and fall in love - so he can get back to the future."
"Bambi","1942","Animation, Drama, Family","tt0034492","The animated story of Bambi, a young deer hailed as the 'Prince of the Forest' at his birth. As Bambi grows, he makes friends with the other animals of the forest, learns the skills needed to survive, and even finds love. One day, however, the hunters come, and Bambi must learn to be as brave as his father if he is to lead the other deer to safety."
"Barefoot in the Park","1967","Comedy, Romance","tt0061385","New Yorkers Paul Bratter and Corie Bratter née Banks have just gotten married. He is a stuffed shirt just starting his career as a lawyer. She is an independently minded free spirit who prides herself on doing the illogical purely out of a sense of adventure, such acts as walking through Washington Square Park barefoot when it's 17°F outside. Their six day honeymoon at the Plaza Hotel shows that they can get to know each other easily in the biblical sense. But they will see if they can get to know each other in their real life when they move into their first apartment, a cozy (in other words, small), slightly broken down top floor unit in a five story walk-up. While Corie joyfully bounds up and down the stairs, Paul, always winded after the fact, hates the fact of having to walk up the six flights of stairs, if one includes the stairs that comprise the outside front stoop. Beyond the issues with the apartment itself, Paul and Corie will have to deal with an odd assortment of neighbors, most specifically eccentric senior Victor Velasco, who lives in the unusual attic and who would like to consider himself a dirty old man. Corie, worried about her single straight-laced mother Ethel Banks, wants to set her up with Victor. Without Corie or Paul truly realizing it, Ethel and Victor as a twosome is as illogical as Corie and Paul. What happens between Ethel and Victor may be a predictor if Corie and Paul's marriage can make it in the long run."
"Batman","1989","Action, Adventure","tt0096895","Gotham City. Crime boss Carl Grissom (Jack Palance) effectively runs the town but there's a new crime fighter in town - Batman (Michael Keaton). Grissom's right-hand man is Jack Napier (Jack Nicholson), a brutal man who is not entirely sane... After falling out between the two Grissom has Napier set up with the Police and Napier falls to his apparent death in a vat of chemicals. However, he soon reappears as The Joker and starts a reign of terror in Gotham City. Meanwhile, reporter Vicki Vale (Kim Basinger) is in the city to do an article on Batman. She soon starts a relationship with Batman's everyday persona, billionaire Bruce Wayne."
"Beaches","1988","Comedy, Drama, Music","tt0094715","When the New York child performer CC Bloom and San Fransisco rich kid Hillary meet in a holiday resort in Atlantic City, it marks the start of a lifetime friendship between them. The two keep in touch through letters for a number of years until Hillary, now a successful lawyer moves to New York to stay with struggling singer CC. The movie shows the various stages of their friendship and their romances including their love for the same man."
"Beauty and the Beast","1991","Animation, Family, Fantasy","tt0101414","Having lived a life in selfishness, a young prince is cursed by a mysterious enchantress to having the appearance of a monstrous beast. His only hope is to learn to love a young woman and earn her love in return in order to redeem himself. Years later, his chance shows itself when a young maiden named Belle offers to take her ill father's place as his prisoner. With help from the castle's enchanted staff, Belle learns to appreciate her captor and immediately falls in love with him. Back in the village however, an unscrupulous hunter has his own plans for Belle."
"Ben-Hur","1959","Adventure, Drama, History","tt0052618","Judah Ben-Hur lives as a rich Jewish prince and merchant in Jerusalem at the beginning of the 1st century. Together with the new governor his old friend Messala arrives as commanding officer of the Roman legions. At first they are happy to meet after a long time but their different politic views separate them. During the welcome parade a roof tile falls down from Judah's house and injures the governor. Although Messala knows they are not guilty, he sends Judah to the galleys and throws his mother and sister into prison. But Judah swears to come back and take revenge."
"Beyond the Forest","1949","Drama, Film-Noir, Romance","tt0041172","Rosa Moline is bored with life in a small town. She loves Chicago industrialist Neil Latimer who has a hunting lodge nearby. Rosa squeezes her husband's patients to pay their bills so she can visit Chicago; her husband's patience is also tried: he tells her to go and never come back. Once there, Neil tells her he doesn't want her. Back home and pregnant, Neil shows up and now wants her. The caretaker at Neil's lodge threatens to reveal her pregnancy..."
"Big","1988","Comedy, Drama, Family","tt0094737","After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult."
"Blackboard Jungle","1955","Crime, Drama","tt0047885","War veteran Rick Dadier is one of three new teachers hired at North Manual High School, an inner city boys school. This is his first teaching assignment, which he needs to support himself and his insecure pregnant wife, Anne. Despite Principle Warnecke's assertions to the contrary, Dadier quickly learns that the rumors of student discipline problems at the school are indeed true. The established teachers at the school try to counsel the newcomers, all inexperienced in such situations, as how best to handle the rowdy students. Regardless, Dadier tries to exert discipline in his class, which provokes a violent response. Dadier believes the student leaders against him are Artie West, but more specifically Gregory Miller, who he thinks uses the fact of being black as a means of racial provocation. Dadier has to decide either to leave and teach at a ""real"" school, or stay and figure out how to get through to his students. If he decides to stay, he has to figure out who the real disruptive influences are, especially as they have resorted to attacks of a personal nature that affect especially Anne."
"Blade Runner","1982","Sci-Fi, Thriller","tt0083658","In the futuristic year of 2019, Los Angeles has become a dark and depressing metropolis, filled with urban decay. Rick Deckard, an ex-cop, is a ""Blade Runner"". Blade runners are people assigned to assassinate ""replicants"". The replicants are androids that look like real human beings. When four replicants commit a bloody mutiny on the Off World colony, Deckard is called out of retirement to track down the androids. As he tracks the replicants, eliminating them one by one, he soon comes across another replicant, Rachel, who evokes human emotion, despite the fact that she's a replicant herself. As Deckard closes in on the leader of the replicant group, his true hatred toward artificial intelligence makes him question his own identity in this future world, including what's human and what's not human."
"Blood Simple.","1984","Crime, Drama, Thriller","tt0086979","Texas bar owner Julian Marty, who is generally regarded as not a nice person, hires shady private detective Loren Visser, who is able to obtain what Marty requests: evidence - in this instance, photographic - that his wife, Abby, and one of his bartenders, Ray, are having an affair. As Ray and Abby realize that Marty has found out about them, it allows them to plan for their future away from Marty, while be up front with Marty about the situation. Marty, in turn, decides to hire Visser once again, this time to kill Abby and Ray, and dispose of their bodies so that they won't be found. The out in the open affair and the contract hit lead to some actions based on self interest, and a standoff of sorts between the four players, which is compounded in complexity by some wrong assumptions of what has happened, with an innocent bystander, another of the Marty's bartenders, Meurice, potentially and unwittingly adding to the scenario."
"Blue Velvet","1986","Drama, Mystery, Thriller","tt0090756","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
"Body Heat","1981","Crime, Drama, Romance","tt0082089","Ned Racine is a seedy small town lawyer in Florida. During a searing heatwave he's picked up by married Matty Walker. A passionate affair commences but it isn't long before they realise the only thing standing in their way is Matty's rich husband Edmund. A plot hatches to kill him but will they pull it off?"
"Bonnie and Clyde","1967","Action, Biography, Crime","tt0061418","1934. Young adults Bonnie Parker, a waitress, and Clyde Barrow, a criminal just released from prison, are immediately attracted to what the other represents for their life when they meet by chance in West Dallas, Texas. Bonnie is fascinated with Clyde's criminal past, and his matter-of-factness and bravado in talking about it. Clyde sees in Bonnie someone sympatico to his goals in life. Although attracted to each other physically, a sexual relationship between the two has a few obstacles to happen. Regardless, they decide to join forces to embark on a life of crime, holding up whatever establishments, primarily banks, to make money and to have fun. They don't plan on hurting anyone physically or killing anyone despite wielding loaded guns. They amass a small gang of willing accomplices, including C.W. Moss, a mechanic to fix whatever cars they steal which is important especially for their getaways, and Buck Barrow, one of Clyde's older brothers. The only reluctant tag-along is Buck's nervous wife, Blanche Barrow, a preacher's daughter. The gang's life changes after the first fatal shot is fired. Following, their willingness to shoot to kill increases to protect themselves and their livelihood. Their notoriety precedes them, so much so that no matter what one's opinion is of them, most want to have some association to the Barrow gang, to help them, to be spoken in the same breath as them, or to capture and or kill them. Of the many people they encounter in their crime spree, the one who may have the most profound effect on their lives is Texas Ranger Frank Hamer, who is looking for a little retribution."
"Boys Town","1938","Biography, Drama","tt0029942","Against all odds Father Flanagan starts ""Boys' Town"" after hearing a convict's story. Whitey Marsh comes there. He runs away but, hungry, returns. He runs away again but, when friend Pee Wee is hit by a car, returns. He runs away and joins his brother's gang. Flanagan and the boys capture the crooks and the reward saves the town."
"Braveheart","1995","Biography, Drama, History","tt0112573","William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce."
"Breakfast at Tiffany's","1961","Comedy, Drama, Romance","tt0054698","Holly Golightly is a flighty Manhattan party girl, who expects ""money for the powder room as well as for cab fare"" for her companionship. She has even gotten a lucrative once weekly job to visit notorious convict Sally Tomato in Sing Sing, she needing to report back to Sally's lawyer the weather report that Sally tells her as proof of her visits with him in return for payment. Her aspirations for glamor and wealth are epitomized by the comfort she feels at Tiffany's, the famous high end jewelry retailer where she believes nothing can ever go wrong. Her resolve for this wealth is strengthened, if not changed slightly in focus, upon news from home. Into Holly's walk-up apartment building and thus her life is Paul Varjak, a writer who Holly states reminds her of her brother Fred, who she has not seen in years and who is currently enlisted in the army. The two quickly become friends in their want for something outside of their current lot. Paul's situation is closer to Holly's than he would like to admit. Having not had anything published in over five years, he is a kept man by his wealthy married ""decorator"", Emily Eustace Failenson - who he refers to as 2E - which allows him not to write, which he no longer truly does. Eventually, Paul falls for Holly, and wants to take care of her, instead of being taken care of as is his current situation. Although Holly also seems to be falling for him, the question becomes whether Paul can fulfill Holly's life aspirations, and if not what needs to change for there even to be the possibility of a future for them."
"Breaking Away","1979","Comedy, Drama, Romance","tt0078902","Best friends Dave, Mike, Cyril and Moocher have just graduated from high school. Living in the college town of Bloomington, Indiana, they are considered ""cutters"": the working class of the town so named since most of the middle aged generation, such as their parents, worked at the local limestone quarry, which is now a swimming hole. There is great animosity between the cutters and the generally wealthy Indiana University students, each group who have their own turf in town. The dichotomy is that the limestone was used to build the university, which is now seen as being too good for the locals who built it. Although each of the four is a totally different personality from the other three, they also have in common the fact of being unfocused and unmotivated in life. The one slight exception is Dave. Although he has no job and doesn't know what to do with his life, he is a champion bicycle racer. He idolizes the Italian cycling team so much he pretends to be Italian, much to the chagrin of his parents, especially his used car salesman father, Ray Stoller, who just doesn't understand his son. Dave crosses the unofficial line when he meets and wants to date a IU co-ed named Katherine Bennett, who, intrigued by Dave, in turn is already dating Rod, one of the big men on campus. Dave passes himself off to her as an Italian exchange student named Enrico Gismondi. Beyond Katarina as he calls her, Dave's main immediate focus is that the Italian cycling team have announced that they will be in Indianapolis for an upcoming race, which he intends to enter to be able to race his idols. After an incident at the race, Dave, with a little help from his parents and unwittingly by actions of his friends, has to reexamine his life, what he really wants to get out of it and how best to start achieving it."
"Bright Eyes","1934","Comedy, Drama, Family","tt0024914","When a maid is accidentally hit by a car and killed, her young orphaned daughter is forced to live with the snooty couple she used to work for. A custody battle soon ensues between an aviator who adores the little girl and the couple's crotchety Uncle Ned."
"Bringing Up Baby","1938","Comedy, Family, Romance","tt0029947","Mild mannered zoology professor Dr. David Huxley is excited by the news that an intercostal clavicle bone has been found to complete his brontosaurus skeleton, a project four years in the construction. He is equally excited about his imminent marriage to his assistant, the officious Alice Swallow, who is interested in him more for his work than for him as a person. David needs the $1 million endowment of wealthy dowager Mrs. Carleton Random to complete the project. Her lawyer, Alexander Peabody, will make the decision on her behalf, so David needs to get in his favor. However, whenever David tries to make a good impression on Peabody, the same young woman always seems to do something to make him look bad. She is the flighty heiress Susan Vance. The more David wants Susan to go away, the more Susan seems not to want or be able to. But David eventually learns that Alexander Peabody is her good friend, who she calls Boopy, and Susan's Aunt Elizabeth, with whom David has also made a bad impression without her knowing who he is, is Mrs. Carleton Random. However getting in Aunt Elizabeth and Boopy's good graces is not as easy as Susan smoothing the waters with them. Throw into the mix a tame pet leopard named Baby that Susan's brother Mark inexplicably sends her from Brazil, Aunt Elizabeth's big game hunting friend Major Horace Applegate, Aunt Elizabeth's pet terrier George who has a penchant for burying bones and other things, and a traveling circus passing through town and David may never be able to finish his project or make it to his wedding. But David may come to the realization that there is something more important in his life."
"Bull Durham","1988","Comedy, Romance, Sport","tt0094812","Crash is an aging minor league ball player, brought up from another team to mature a young pitcher with maturity problems. Both of them become involved with Ann, a baseball groupie with her own perspective on the game."
